
2021-01-22 11:30:40.716	Status	DbConnection open successfully
2021-01-22 11:30:40.736	Status	In loadPendingJobs
2021-01-22 11:30:40.741	Status	In OpenConnection
2021-01-22 11:30:40.746	Status	DbConnection open successfully
2021-01-22 11:30:40.755	Status	Pending Jobs loaded successfully
2021-01-22 11:30:40.760	Status	Connection closed successfully
2021-01-22 11:30:40.765	Status	In loadCompletedJobs
2021-01-22 11:30:40.769	Status	In OpenConnection
2021-01-22 11:30:40.773	Status	DbConnection open successfully
2021-01-22 11:30:40.868	Status	Completed Jobs loaded successfully
2021-01-22 11:30:40.872	Status	Connection closed successfully
2021-01-22 11:32:36.610	Status	In OpenConnection
2021-01-22 11:32:40.966	Status	DbConnection open successfully
2021-01-22 11:32:40.984	Status	In OpenConnection
2021-01-22 11:32:40.989	Status	DbConnection open successfully
2021-01-22 11:32:41.009	Status	In loadPendingJobs
2021-01-22 11:32:41.013	Status	In OpenConnection
2021-01-22 11:32:41.018	Status	DbConnection open successfully
2021-01-22 11:32:41.027	Status	Pending Jobs loaded successfully
2021-01-22 11:32:41.032	Status	Connection closed successfully
2021-01-22 11:32:41.037	Status	In loadCompletedJobs
2021-01-22 11:32:41.041	Status	In OpenConnection
2021-01-22 11:32:41.046	Status	DbConnection open successfully
2021-01-22 11:32:41.128	Status	Completed Jobs loaded successfully
2021-01-22 11:32:41.133	Status	Connection closed successfully
2021-01-22 11:37:20.753	Status	In OpenConnection
2021-01-22 11:37:23.264	Status	DbConnection open successfully
2021-01-22 11:37:23.318	Status	In OpenConnection
2021-01-22 11:37:23.324	Status	DbConnection open successfully
2021-01-22 11:37:23.355	Status	In loadPendingJobs
2021-01-22 11:37:23.360	Status	In OpenConnection
2021-01-22 11:37:23.365	Status	DbConnection open successfully
2021-01-22 11:37:23.382	Status	Pending Jobs loaded successfully
2021-01-22 11:37:23.386	Status	Connection closed successfully
2021-01-22 11:37:23.391	Status	In loadCompletedJobs
2021-01-22 11:37:23.396	Status	In OpenConnection
2021-01-22 11:37:23.401	Status	DbConnection open successfully
2021-01-22 11:37:23.487	Status	Completed Jobs loaded successfully
